property_id,location,property_type,bedrooms,price_lakh,area_sqft,status,description
P001,Gangapur Road,Apartment,2,58,980,Available,"Modern 2BHK apartment on Gangapur Road with good connectivity to schools, hospitals, restaurants and the city center."
P002,College Road,Apartment,2,65,1050,Available,"Spacious 2BHK apartment on College Road in a well-established residential area close to schools, cafes and shopping."
P003,Indira Nagar,Apartment,3,72,1320,Available,"Family-friendly 3BHK apartment in Indira Nagar with spacious rooms, nearby schools, hospitals and daily conveniences."
P004,Panchavati,Apartment,2,48,900,Available,"Affordable 2BHK apartment in Panchavati suitable for families looking for access to markets, temples and central Nashik."
P005,Nashik Road,Apartment,2,52,950,Available,"Well-connected 2BHK apartment in Nashik Road with convenient access to the railway station, schools and commercial areas."
P006,Pathardi Phata,Apartment,2,55,1000,Available,"2BHK apartment at Pathardi Phata with modern amenities and convenient connectivity to Mumbai-Agra Highway."
P007,Ambad,Apartment,3,68,1250,Available,"Spacious 3BHK apartment in Ambad near industrial areas with good road connectivity and family-oriented amenities."
P008,Deolali,Apartment,2,50,980,Available,"Peaceful 2BHK apartment in Deolali with a quieter residential environment and access to schools and local markets."
P009,Gangapur Road,Villa,3,105,1850,Available,"Independent 3BHK villa near Gangapur Road with private parking, garden space and premium residential surroundings."
P010,College Road,Apartment,3,88,1450,Available,"Premium 3BHK apartment on College Road with spacious interiors, modern amenities and excellent access to city facilities."
P011,Indira Nagar,Apartment,2,61,1020,Available,"Well-maintained 2BHK apartment in Indira Nagar close to schools, supermarkets, hospitals and public transportation."
P012,Nashik Road,Apartment,1,38,650,Available,"Compact 1BHK apartment in Nashik Road suitable for working professionals seeking affordable housing near transport facilities."
P013,Pathardi Phata,Apartment,3,75,1380,Available,"Large 3BHK apartment near Pathardi Phata with highway connectivity, modern amenities and nearby shopping facilities."
P014,Satpur,Apartment,2,54,960,Available,"Affordable 2BHK apartment in Satpur with convenient access to industrial areas, schools and major roads."
P015,Ambad,Apartment,2,57,990,Available,"2BHK apartment in Ambad suitable for families and professionals working in nearby industrial and commercial areas."
P016,Gangapur Road,Apartment,3,82,1400,Available,"Spacious 3BHK apartment near Gangapur Road with premium amenities, parking and access to established social infrastructure."
P017,Anandvalli,Apartment,2,63,1080,Available,"Modern 2BHK apartment in Anandvalli with peaceful surroundings, good road connectivity and access to Gangapur Road."
P018,Makhmalabad,Apartment,2,46,920,Available,"Budget-friendly 2BHK apartment in Makhmalabad with developing infrastructure, schools and local shopping nearby."
P019,Panchavati,Villa,3,92,1700,Available,"Independent 3BHK villa in Panchavati with parking, spacious living areas and convenient access to central Nashik."
P020,Nashik Road,Apartment,3,70,1300,Available,"Family-oriented 3BHK apartment in Nashik Road with railway connectivity, schools, hospitals and retail facilities."
P021,College Road,Apartment,2,69,1070,Available,"2BHK apartment on College Road in a premium neighborhood with restaurants, educational institutions and shopping nearby."
P022,Indira Nagar,Apartment,3,79,1360,Available,"Well-designed 3BHK apartment in Indira Nagar with modern amenities, parking and strong connectivity to major roads."
P023,Satpur,Apartment,1,35,620,Available,"Affordable 1BHK apartment in Satpur ideal for professionals working in nearby industrial and commercial zones."
P024,Deolali,Villa,4,125,2300,Available,"Spacious 4BHK villa in Deolali with a large garden, private parking and a peaceful residential environment."
P025,Pathardi Phata,Apartment,2,59,1010,Available,"Ready-to-move 2BHK apartment at Pathardi Phata with easy access to Mumbai-Agra Highway and nearby commercial areas."
P026,Anandvalli,Apartment,3,86,1450,Available,"Premium 3BHK apartment in Anandvalli with spacious rooms, modern amenities and quick access to Gangapur Road."
P027,Makhmalabad,Apartment,2,51,970,Available,"2BHK apartment in Makhmalabad offering affordable pricing, peaceful surroundings and access to schools and local markets."
P028,Gangapur Road,Apartment,2,60,1000,Available,"2BHK apartment near Gangapur Road with good connectivity to schools, hospitals, restaurants and recreational areas."
P029,Ambad,Apartment,3,73,1280,Available,"3BHK apartment in Ambad with modern amenities and convenient access to industrial areas and major roads."
P030,College Road,Apartment,2,67,1040,Sold,"2BHK apartment on College Road with excellent connectivity and nearby amenities, but the property has already been sold."
